story,character, appearing lines
a2ddbb50-e45b-4ad3-becf-b2d8475172bf,I (myself),"[1, 2, 3, 4, 5]"
a2ddbb50-e45b-4ad3-becf-b2d8475172bf,Boyfriend,"[1]"
70ac8123-a055-499a-826d-3c0f48d5d2d6,Mike,"[1, 2, 3, 4, 5]"
56e7b6a2-3075-4d3b-96f1-e2d50d20ed34,Oliver,"[1, 2, 4]"
56e7b6a2-3075-4d3b-96f1-e2d50d20ed34,Auri,"[1, 2, 3, 4, 5]"
693e34ab-72b9-4fc4-ad68-8f595c620747,Duncan,"[1, 3]"
466fc44f-e02c-4349-8da9-259e7a120a44,Stewart,"[1, 2, 3, 4, 5]"
e25d3cba-821e-448d-81fb-7296b440d741,Jordan,"[1, 2, 3, 4, 5]"
e25d3cba-821e-448d-81fb-7296b440d741,Mom,"[3, 4, 5]"
1117ca75-d6cd-4dd0-8ab5-4181393ce3fc,Kim,"[1, 2, 3, 4, 5]"
1117ca75-d6cd-4dd0-8ab5-4181393ce3fc,People,"[5]"
9185e551-a2c5-43c0-9cfb-469541add819,Jennifer's parents,"[4]"
9185e551-a2c5-43c0-9cfb-469541add819,Jennifer,"[1, 2, 3, 4, 5]"
263aceec-9e25-4ac8-ba74-1596b8147d6f,The homes,"[2, 3, 4, 5]"
263aceec-9e25-4ac8-ba74-1596b8147d6f,The community,"[4]"
38ff2012-69b8-4345-b9fc-cd21e99356e9,I (myself),"[1]"
38ff2012-69b8-4345-b9fc-cd21e99356e9,Parents,"[2]"
2b93a33f-bc5c-4198-9188-89944fcfe201,Dog,"[3]"
2b93a33f-bc5c-4198-9188-89944fcfe201,Sam,"[1, 2, 3, 4, 5]"
a339a9fb-2154-472b-818c-4b6973c797b0,Ken,"[1, 2, 3, 4, 5]"
375b4cb6-ad33-4b45-826c-e79f35ffa2b5,Bob,"[1, 2, 3, 4, 5]"
375b4cb6-ad33-4b45-826c-e79f35ffa2b5,A girl,"[4, 5]"
26cbdd30-4bdd-4f9d-9452-1ea24a7dd73b,Shauna,"[1, 2, 4, 5]"
26cbdd30-4bdd-4f9d-9452-1ea24a7dd73b,Ryan,"[1, 2, 3]"
7315d059-eb8e-4c29-9506-646bc64ba789,Girlfriend,"[2, 3, 4, 5]"
7315d059-eb8e-4c29-9506-646bc64ba789,Ronny,"[1, 2, 3, 4, 5]"
4aa37ab3-ee98-4dba-89e7-594e71070fe1,Henrietta,"[1]"
a34d7f3f-f1d2-456a-8566-2000c9f139b4,Theo,"[1, 2, 3, 4, 5]"
a34d7f3f-f1d2-456a-8566-2000c9f139b4,Father,"[1, 2, 5]"
a34d7f3f-f1d2-456a-8566-2000c9f139b4,Army,"[2, 5]"
ad67a68c-a796-447b-b89d-ac5b20a1bedf,I (myself),"[1, 2, 3]"
ad67a68c-a796-447b-b89d-ac5b20a1bedf,Daughter,"[1, 3, 4]"
ad67a68c-a796-447b-b89d-ac5b20a1bedf,Wife,"[1, 2, 3, 4]"
a8fbd5b2-e65c-4cce-b10c-fc64d0e77322,Shawn,"[1, 2, 3, 4, 5]"
a8fbd5b2-e65c-4cce-b10c-fc64d0e77322,Dog,"[3]"
19473b71-0e17-4716-9898-5c42c10dbbb8,Joe,"[1, 2, 3, 4, 5]"
621c1fd2-9d12-423e-b123-7f98366bd6c0,Beth,"[1, 2, 3, 4, 5]"
621c1fd2-9d12-423e-b123-7f98366bd6c0,Daughter,"[1]"
d1357646-58b8-4db1-b121-d2f7c62f72b6,Bob,"[1, 2, 3, 4, 5]"
d1357646-58b8-4db1-b121-d2f7c62f72b6,Employees,"[2, 5]"
3b2a458e-3967-4eb6-acf9-1b56c6fc23b0,I (myself),"[1, 2, 3, 4, 5]"
379e9bbc-d5dc-43dc-8e1a-f23c597cf7ca,Friend,"[2, 3]"
379e9bbc-d5dc-43dc-8e1a-f23c597cf7ca,Lucy,"[1, 2, 3, 4, 5]"
ce448994-4ac8-476d-9783-17053baa9602,Fran,"[1, 2, 3, 4]"
ce448994-4ac8-476d-9783-17053baa9602,Burt,"[1, 2, 3, 4]"
6dc8e021-9a9f-4729-81ae-db86f1fe131b,Man,"[1, 2, 3, 4, 5]"
d055f52f-0183-4ffd-bc80-f98027c112c3,President,"[3, 5]"
d055f52f-0183-4ffd-bc80-f98027c112c3,American people,"[4]"
d055f52f-0183-4ffd-bc80-f98027c112c3,Teddy,"[1, 2, 3, 4, 5]"
91fcc275-8305-4aef-ac89-43604d732a0c,Manuel,"[1, 2, 3, 4, 5]"
91fcc275-8305-4aef-ac89-43604d732a0c,Friend,"[3, 4, 5]"
161fa196-a6de-44f3-bac7-b92a861c2bfe,Trainer,"[4]"
161fa196-a6de-44f3-bac7-b92a861c2bfe,Gym,"[2, 3]"
161fa196-a6de-44f3-bac7-b92a861c2bfe,Everyone,"[3]"
161fa196-a6de-44f3-bac7-b92a861c2bfe,Joe,"[1, 2, 3, 4, 5]"
c95f5aaa-d902-4aea-8a56-05deb0692abb,Humans,"[2, 4]"
c95f5aaa-d902-4aea-8a56-05deb0692abb,Actor,"[3]"
c95f5aaa-d902-4aea-8a56-05deb0692abb,Einstein,"[1, 2, 3, 5]"
4534a8f9-3185-4331-b7cf-b51a3ab6331c,Owner,"[3]"
4534a8f9-3185-4331-b7cf-b51a3ab6331c,Neil,"[1, 2, 3, 4, 5]"
4534a8f9-3185-4331-b7cf-b51a3ab6331c,Macau,"[2, 5]"
67332ab7-7287-485a-950a-e364f413c55e,Margaret,"[1, 2, 3, 4, 5]"
67332ab7-7287-485a-950a-e364f413c55e,Teacher,"[4]"
67332ab7-7287-485a-950a-e364f413c55e,Mom,"[5]"
3a81c40a-db08-4584-9338-1d63ca7dd078,Tim,"[1, 2, 3, 4, 5]"
3a81c40a-db08-4584-9338-1d63ca7dd078,Jim,"[2, 3, 5]"
f452d3f0-262d-4c1c-b220-c4bd3040fc73,Producer,"[4]"
f452d3f0-262d-4c1c-b220-c4bd3040fc73,Ray,"[1, 2, 3, 5]"
eab20507-41a0-4d92-a082-d11f5977e194,Vick,"[1, 2, 3, 4, 5]"
eab20507-41a0-4d92-a082-d11f5977e194,Tutor,"[3]"
77393c46-ec57-4ad6-bb2b-394e42143334,Girl,"[2, 3, 5]"
064db078-db3e-4565-b1a5-bacdfa849d04,Baby,"[1, 5]"
064db078-db3e-4565-b1a5-bacdfa849d04,Ted,"[1, 2, 3, 4]"
064db078-db3e-4565-b1a5-bacdfa849d04,Mary,"[1, 2, 3, 4]"
7396e594-b6f5-4a37-9e2f-2e201a3f8853,Fred's parents,"[2, 4]"
7396e594-b6f5-4a37-9e2f-2e201a3f8853,Teacher,"[3]"
7396e594-b6f5-4a37-9e2f-2e201a3f8853,Fred,"[1, 2, 3, 4, 5]"
c6c0e1b0-3680-4f68-808d-da3f0c6915ca,Phil,"[1, 2, 3, 5]"
2721c208-4d9c-46ff-9f88-4236409c82f6,Cam,"[1, 2, 3, 4, 5]"
ff7e3a58-30ba-4534-87f3-78be2fcabef9,Owner,"[2, 3, 4, 5]"
ff7e3a58-30ba-4534-87f3-78be2fcabef9,Paul,"[1, 2, 3, 4, 5]"
bdd42e64-f09f-4f9b-8c7f-6bf86a22d424,I (myself),"[1, 2, 3, 4, 5]"
e1b46371-6553-415b-bff8-3fc28848a2ce,Elderly man,"[1, 2]"
e1b46371-6553-415b-bff8-3fc28848a2ce,Maria,"[1, 4, 5]"
53d767d1-b052-49ef-bc40-26451cf49c36,Kellie,"[1, 5]"
53d767d1-b052-49ef-bc40-26451cf49c36,Mom,"[2]"
95e9fd4f-8a1d-4d4b-98ff-7a669b8b29b8,Children,"[1, 2, 3, 4, 5]"
95e9fd4f-8a1d-4d4b-98ff-7a669b8b29b8,A monkey,"[1, 2, 3, 4, 5]"
95e9fd4f-8a1d-4d4b-98ff-7a669b8b29b8,One child,"[3, 4, 5]"
b6db24e1-9950-4f95-8557-281d8f7c7173,Caterpillar,"[1, 3, 4, 5]"
b6db24e1-9950-4f95-8557-281d8f7c7173,Kids,"[2]"
b6db24e1-9950-4f95-8557-281d8f7c7173,Kate,"[1]"
32d3337a-6695-47c9-b4af-87f4164bffaa,Tom,"[1, 2, 3, 4, 5]"
b9e706fb-10a1-4a81-a63a-72fd26b1fbc5,I (myself),"[1, 2, 3, 4, 5]"
b9e706fb-10a1-4a81-a63a-72fd26b1fbc5,Cops,"[2, 3, 4, 5]"
b9e706fb-10a1-4a81-a63a-72fd26b1fbc5,Cop,"[2, 3, 4, 5]"
93da898d-5291-4cf1-8c2a-0e7ca2893be2,Boy,"[2, 3, 4, 5]"
26e855ca-eaf2-43e5-ae73-4d345291e5ed,Dad,"[2, 3, 4]"
26e855ca-eaf2-43e5-ae73-4d345291e5ed,Bill,"[1, 2, 3]"
26e855ca-eaf2-43e5-ae73-4d345291e5ed,Monster,"[1]"
1035448c-0de3-47c7-9871-f9622f6f346b,I (myself),"[1, 2, 3, 4, 5]"
1035448c-0de3-47c7-9871-f9622f6f346b,Broncos,"[2]"
1035448c-0de3-47c7-9871-f9622f6f346b,Panthers,"[2]"
ef0dd346-a1ed-4d70-8c8c-a6e4583fa23e,Frogs,"[2, 3, 4, 5]"
ef0dd346-a1ed-4d70-8c8c-a6e4583fa23e,Sally,"[1, 2, 3, 4, 5]"
385a293f-2763-460a-b094-387309dfaf21,Dwayne,"[1, 2, 3, 4, 5]"
385a293f-2763-460a-b094-387309dfaf21,Dog,"[2, 3, 5]"
3e7067ec-7137-4ba7-b26b-2e5823aab229,Bob,"[1, 2, 3, 4, 5]"
3e7067ec-7137-4ba7-b26b-2e5823aab229,Martha,"[1, 2, 3, 4, 5]"
35a60fea-310d-430a-b673-424a441ff5c1,Jamie,"[1, 2, 3, 4, 5]"
0ea29624-5133-4e82-93c4-4f65c88c6168,I (myself),"[1, 2, 3, 4, 5]"
f994e486-30f4-4a0e-bd19-b1f394ec8d98,Jack,"[1, 2, 3, 5]"
02706641-62aa-485a-af80-9452dd21801d,Mother,"[2, 3]"
02706641-62aa-485a-af80-9452dd21801d,Kate,"[1, 2, 4, 5]"
ff08b284-fc97-4702-8ed1-64031ebc7912,I (myself),"[1, 2, 3, 4, 5]"
105648a4-d322-4471-8d36-52a7fc83dd85,Billy,"[1, 2, 3, 4, 5]"
fea414c7-28f7-46fb-a5d0-85e61f4c5bbe,Tom's best friend,"[1, 2, 4, 5]"
fea414c7-28f7-46fb-a5d0-85e61f4c5bbe,Tom,"[1, 3, 5]"
7ead969f-b0a1-407d-8ece-5285a94a5e2f,Alvin,"[1]"
7ead969f-b0a1-407d-8ece-5285a94a5e2f,Family,"[1, 4]"
7ead969f-b0a1-407d-8ece-5285a94a5e2f,Grandma,"[3, 4]"
1b5f1125-ea81-41f3-bf91-4610f96b8d98,I (myself),"[1, 4]"
1b5f1125-ea81-41f3-bf91-4610f96b8d98,Wife,"[1, 4]"
844ed804-ec83-4649-a63c-e3ce0686fbd1,Venita,"[1, 2, 3, 4, 5]"
4a163ae1-739d-4d9c-a26f-b4789eecf380,I (myself),"[1, 2, 3, 4, 5]"
7ee0edc5-8ac9-40b9-ab3e-69aa66d16dc3,Jane,"[1, 2, 3, 4, 5]"
7ee0edc5-8ac9-40b9-ab3e-69aa66d16dc3,Kitty,"[1, 2, 3]"
1d9f44ee-d4b3-4554-aff3-2647d7e98c77,Jill,"[1, 2, 3, 4, 5]"
1d9f44ee-d4b3-4554-aff3-2647d7e98c77,Jill's husband,"[3, 4]"
fd0da43e-83dd-4d01-80e0-21b5ae799bce,Joe,"[1, 2, 3, 4]"
58ad4f34-8d3e-4d0a-9612-46f4b27adee8,Liz,"[1, 2, 3, 4, 5]"
45921903-cdbb-4363-af8a-bd77321484ec,Stanley,"[1, 2, 3, 4, 5]"
ca99e799-7826-41fe-859c-daa8ce49a70c,Charles,"[1, 2, 3, 4, 5]"
c8ba7b64-4282-4142-86f2-9298fae68144,Ray,"[1, 2, 3, 4, 5]"
0231fe98-b02e-4791-b2a4-cbbff9386082,I (myself),"[5]"
0231fe98-b02e-4791-b2a4-cbbff9386082,Boy,"[1, 2, 3]"
0231fe98-b02e-4791-b2a4-cbbff9386082,My son-in-law's aunt,"[1, 3, 4]"
cce0ecb4-a03d-42b8-b951-acbae799cf85,Allie,"[1, 2, 3, 4, 5]"
cce0ecb4-a03d-42b8-b951-acbae799cf85,Church,"[1]"
432baa70-320b-42e9-93e6-74ae239ccf19,Someone,"[3]"
432baa70-320b-42e9-93e6-74ae239ccf19,Danielle,"[1, 2, 4, 5]"
51fd3776-3079-4706-8516-bc0d8acf48b7,Nancy,"[1, 2, 3, 4, 5]"
51fd3776-3079-4706-8516-bc0d8acf48b7,People,"[5]"
a88c0dc8-fdfa-4c18-a4c2-cbda7bb78996,Kelly,"[1, 2, 3, 4, 5]"
a88c0dc8-fdfa-4c18-a4c2-cbda7bb78996,Friend,"[1, 2, 3, 4, 5]"
70b0384d-3136-4a01-a38b-4e33931dac99,Gina,"[1, 3, 4, 5]"
70b0384d-3136-4a01-a38b-4e33931dac99,Mary,"[2, 3, 4, 5]"
70b0384d-3136-4a01-a38b-4e33931dac99,Rita,"[2, 3, 4, 5]"
bef0ba56-bbee-4b02-8621-30f124bbb57e,Aaron,"[1, 2, 3, 4, 5]"
268b0217-2361-4fc6-ae3e-dac3ce7a653b,Shawn,"[1, 2, 3, 4, 5]"
6895403d-5878-4a58-bceb-dc837631f069,Ben,"[1, 3, 5]"
aa72062d-34b1-496a-8ace-1e11c3c39a6a,Stewart,"[1, 2, 3, 4, 5]"
260f8681-4f69-4ef2-83b7-f04ae971eba7,Owner,"[2, 3, 4, 5]"
260f8681-4f69-4ef2-83b7-f04ae971eba7,Prospective buyer,"[3]"
3cf96f29-b6f9-4c7b-9c83-5b5c4f24a3d0,Sara,"[1, 2, 3, 4, 5]"
771d6a8e-358e-4c05-9fec-eaf011d42669,Jack,"[1, 2, 3, 4, 5]"
3a3fe53b-f81b-4c2c-b43b-6b4c511f6388,Betty,"[1, 2, 3, 5]"
35cd4c05-60cd-4b3d-8fae-5ec799250739,Josh,"[1, 2, 3, 4, 5]"
35cd4c05-60cd-4b3d-8fae-5ec799250739,Josh's friends,"[1, 2, 3, 5]"
b166fc70-76a4-4a53-afc2-c49ae8d970ce,Snake,"[2, 3, 4]"
b166fc70-76a4-4a53-afc2-c49ae8d970ce,Todd,"[1, 3, 5]"
4f2bd97d-55c6-4ae8-bfca-cee547d26a33,Girl,"[1, 2, 3]"
4f2bd97d-55c6-4ae8-bfca-cee547d26a33,Tom,"[1, 2, 4]"
5f984341-bb80-411f-9c95-3c4370d63e98,New customers,"[2]"
5f984341-bb80-411f-9c95-3c4370d63e98,Ramon,"[1, 2, 3, 4, 5]"
5f984341-bb80-411f-9c95-3c4370d63e98,His boss,"[3]"
47c2a744-0a99-4cb5-8fd4-a45d80334488,Stan,"[1, 2, 3, 4, 5]"
47c2a744-0a99-4cb5-8fd4-a45d80334488,Many people,"[3, 4]"
e189cc1c-0645-4d99-98ae-1d2c2a3d38f3,Charlotte,"[1, 2, 3, 5]"
e189cc1c-0645-4d99-98ae-1d2c2a3d38f3,Kid,"[3, 4, 5]"
9c33d8ae-5839-49ed-af8d-e0fa40f10f78,Father,"[1, 2, 3, 5]"
9c33d8ae-5839-49ed-af8d-e0fa40f10f78,Carlos,"[1, 3, 4]"
3709823b-b306-4b51-9490-72ca7dc12599,I (myself),"[1, 3, 4]"
cf196bc0-b56e-4b07-9d57-32b595cf7267,Deb,"[1, 2, 3, 4, 5]"
27e571e7-253b-4209-9244-eac9b95f67a8,Matt,"[1, 2, 3, 4, 5]"
27e571e7-253b-4209-9244-eac9b95f67a8,A person,"[3, 4, 5]"
2ee08a62-8d23-4c78-92c2-bbd09cd42d3b,Julie,"[1, 2, 3, 4, 5]"
d3a013f5-d0bf-4595-a8f7-994e266007e0,Fish,"[4]"
d3a013f5-d0bf-4595-a8f7-994e266007e0,Marine life,"[4]"
d3a013f5-d0bf-4595-a8f7-994e266007e0,Andy,"[1, 2, 3, 4, 5]"
18a44839-3c64-4766-8dcf-bc6073ecf534,Rachel,"[1, 2, 3, 4, 5]"
18a44839-3c64-4766-8dcf-bc6073ecf534,The police,"[4, 5]"
f236d666-620b-4e4f-afad-8c6ead0057ce,Dance classes,"[1, 2, 3]"
f236d666-620b-4e4f-afad-8c6ead0057ce,Molly,"[1, 2, 3, 4]"
f236d666-620b-4e4f-afad-8c6ead0057ce,Her friends,"[2, 4]"
f236d666-620b-4e4f-afad-8c6ead0057ce,Teacher,"[5]"
2272c98c-c071-4a06-836e-d9ff029d7a69,Zach,"[1, 2, 3, 4, 5]"
81222676-913f-4bd2-a44e-e0ed9d6945cf,Friends,"[1, 2, 4, 5]"
81222676-913f-4bd2-a44e-e0ed9d6945cf,Jimi hendrix,"[3, 4]"
81222676-913f-4bd2-a44e-e0ed9d6945cf,Tom,"[1, 2, 3]"
58673471-11b8-4561-a31e-65915f43b2b8,Plumber,"[5]"
58673471-11b8-4561-a31e-65915f43b2b8,Chelsea,"[1, 2, 5]"
f40664fe-887d-4548-ac5e-2c72079b7ac4,Dan,"[1, 2, 3, 4, 5]"
f40664fe-887d-4548-ac5e-2c72079b7ac4,Friends,"[3]"
9b869f0a-086a-4a35-bc4d-99023db0ec5b,I (myself),"[1, 2, 3, 4, 5]"
9b869f0a-086a-4a35-bc4d-99023db0ec5b,Mosquito,"[3]"
e66d5133-c51c-4df3-9294-513f4b6e4798,Tyler's parents,"[3, 4, 5]"
e66d5133-c51c-4df3-9294-513f4b6e4798,Tyler,"[1, 2, 3, 4, 5]"
e66d5133-c51c-4df3-9294-513f4b6e4798,The school nurse,"[1, 2]"
cdba2cd5-2f2f-40ac-81cd-f4e7415d70a7,Twin,"[1, 2, 4, 5]"
cdba2cd5-2f2f-40ac-81cd-f4e7415d70a7,John,"[1, 2, 3, 4]"
cdba2cd5-2f2f-40ac-81cd-f4e7415d70a7,Twin's sister,"[3, 4, 5]"
3bbb98d0-6a1e-4c93-8985-2f6988a77eba,Ferdinand,"[1, 2, 3, 4, 5]"
3bbb98d0-6a1e-4c93-8985-2f6988a77eba,One,"[1]"
3bbb98d0-6a1e-4c93-8985-2f6988a77eba,Everyone,"[4]"
3bbb98d0-6a1e-4c93-8985-2f6988a77eba,People,"[3, 4]"
c51f1a4f-14a2-436e-95cf-9bc29f74d7ee,Bear,"[1, 2, 3, 4, 5]"
bd096330-944b-4b44-8e3c-1cf9f74b24e9,Gary,"[2, 3, 5]"
85f97e9f-5575-44a7-bc6d-fd2878a1c45d,Turkey,"[1, 2, 3, 4]"
85f97e9f-5575-44a7-bc6d-fd2878a1c45d,Ralph,"[1, 2, 3, 4, 5]"
85f97e9f-5575-44a7-bc6d-fd2878a1c45d,Family,"[5]"
d9e2b67d-f061-4b1e-81ec-43a7f4a07148,Kija,"[1, 2, 3, 4, 5]"
691c9eeb-ddfa-41ab-8a95-894afaf178e2,Alain,"[2, 3, 4, 5]"
691c9eeb-ddfa-41ab-8a95-894afaf178e2,Martha,"[1, 2, 3, 4, 5]"
691c9eeb-ddfa-41ab-8a95-894afaf178e2,Herself,"[1]"
