storyid	split
c0d0b280-c173-440c-b017-d895930a4b59	train
41c3c60b-a4f0-4d24-877e-dca127121694	train
66f59bd3-5035-4c47-8b07-493379efd161	train
4182d137-526a-49d0-ba60-52482e0e6a2b	train
cc12f18d-69ce-4ac2-b8b6-c53abac719bb	train
4c4bf748-2747-4552-bee6-245a6ee13272	train
e252264b-b023-462a-818e-aad1ba6bce55	train
088dc36f-69f7-41f1-b21a-226a76ab4707	train
392cede1-4e43-4654-b073-f27e4da86750	train
f040733e-20cb-4a29-a169-2c5aceaae3ae	train
376e8871-c169-4313-aae6-2a41de2b8f2a	train
3204ee58-ee0e-4f18-af93-3e4e07064484	train
0e2c2007-cfc4-4acf-ab4e-80a3e361f57f	train
c00e627f-79b4-4977-a4dd-68afe935448e	train
83419922-be06-46c7-81b6-d3a9d8b8008e	train
7f0024b3-e2c7-4e38-9116-464e8374f861	train
2343448b-3e1c-4a6b-93a3-ccbff7b164c8	train
cf12a549-5e33-4024-aa56-809ec7d3046a	train
c86ac3af-72f4-4c95-97e1-4b4441e8ab99	train
61a626ee-c4a6-456d-b0d3-2b1bd08ef414	train
4056acfc-dde9-4f62-bd8e-ddbf9a1bee7e	train
19ea4dcc-cf2d-45cf-8712-fefef6989d80	train
e2a62792-4f3b-4d9b-8319-a2cad6f595ab	train
5a274d1c-1d1b-4112-85f9-9d5f209887e6	train
74398e0f-2216-4863-8913-1511eb6149a7	train
fa99e024-3331-4806-bf41-a2518112c55b	train
ca34bc3d-a708-468a-a038-1f05d60ed010	train
9a75f32f-f8b1-4475-84c0-3871286267c9	train
6355e1ed-b9cb-4b58-aff3-2f292f34dbb0	train
fb822c26-3b3a-43d4-9eab-fa643cc4e4c0	train
a4838bbc-6ef1-4063-96b4-a75bd5544368	train
af2e9aec-aa12-47ce-a536-c35b09097296	train
10bebdfd-9c50-489d-aa5a-52759425a2aa	train
dfc6aee9-5645-4c35-9a16-fa10585366e2	train
73fe8f96-fef5-4a0b-8933-81791d6755cf	train
555fd976-f554-465d-97c5-beed0139e9fb	train
50460231-72a6-4bd3-8770-64c4eaa1320f	train
644b3fed-4e0e-4d3d-a3be-85ad788a494a	train
387dd00a-893c-4b8b-bcc9-288548a8f402	train
03637875-5608-4268-9aa6-14fbfac4377d	train
05fa088f-ade9-4f77-b844-dcb92012b2c0	train
b79a0758-ea2d-4c6f-a003-ecf34736af8a	train
7209fe28-374e-46ad-aea6-793231c64410	train
80c71445-3e5e-41fa-8b75-11f42970ab90	train
838b71be-61ee-455b-849c-90d2992cf7c7	train
5dee245d-1b03-4e09-942c-95080ea47d78	train
dd06df6c-879f-46d3-821d-522a2a60e47a	train
b4216fa9-cc7c-4e88-8b36-14e1ad6bca09	train
beafe72a-02f7-417b-a13f-396e25caa2be	train
42200810-e499-4de4-a48a-79f593ee9e1a	train
4c8e831d-b055-4afc-9ae5-0bbe372318f4	train
1052cb33-69b1-4f2c-b093-d7be7ebc29b4	train
150bc586-3b52-4ed9-afb3-f395c5611a0c	train
d8a29195-6b27-4648-a586-87e7ad5c7a99	train
91faf4d7-7265-4f8b-8ad8-21beae7cf76b	train
5fd44862-5613-457b-82c2-e2747706cfac	train
44371a00-a494-4af5-9e7e-6fcfcec91df9	train
db308cf6-f6b4-4c79-87fd-df088953f810	train
e1352b35-ead9-4550-89e0-69885763d01e	train
aa6a7c75-d329-46c9-9bb1-c808992dbbce	train
964488bf-ec56-4f06-9d71-a3fc02d24774	train
bf85b2a7-1d5c-4975-bd14-252d43a53428	train
